timestamp,emg_value
1734105728.6100326,494
1734105728.6100988,493
1734105728.610166,493
1734105728.6102233,494
1734105728.6102808,494
1734105728.6103399,493
1734105728.610397,493
1734105728.6104605,492
1734105728.6105206,493
1734105728.610578,492
1734105728.610635,493
1734105728.6106863,493
1734105728.6107368,492
1734105728.6107874,492
1734105728.610839,494
1734105728.6108897,493
1734105728.6109421,493
1734105728.6110013,494
1734105728.6110532,493
1734105728.6111045,493
1734105728.6111557,492
1734105728.6112063,494
1734105728.6112583,494
1734105728.611309,493
1734105728.6113598,493
1734105728.6114128,493
1734105728.6114652,493
1734105728.6115139,493
1734105728.6115596,494
1734105728.6116054,492
1734105728.6116514,492
1734105728.6116974,494
1734105728.6117437,492
1734105728.6117904,494
1734105728.611837,493
1734105728.611884,492
1734105728.6119301,493
1734105728.612,493
1734105728.6120462,493
1734105728.6120915,492
1734105728.6121376,494
1734105728.6121845,492
1734105728.6122298,491
1734105728.612275,493
1734105728.6123204,493
1734105728.6123664,493
1734105728.6124117,494
1734105728.6124575,494
1734105728.6125033,493
1734105728.6125486,494
1734105728.6125944,493
1734105728.6126397,493
1734105728.6126823,493
1734105728.612726,494
1734105728.6127687,493
1734105728.6128101,491
1734105728.6128516,494
1734105728.6128933,494
1734105728.612935,492
1734105728.6129866,493
1734105728.613028,493
1734105728.6130695,493
1734105728.6131134,493
1734105728.6131558,496
1734105728.6131985,493
1734105728.6132445,492
1734105728.6132865,493
1734105728.6133275,494
1734105728.6133702,494
1734105728.6134126,491
1734105728.6134539,493
1734105728.6134956,493
1734105728.6135383,492
1734105728.6135767,493
1734105728.613616,494
1734105728.6136553,493
1734105728.613694,494
1734105728.613737,493
1734105728.6137757,493
1734105728.6138146,492
1734105728.613854,493
1734105728.6138928,492
1734105728.6139312,492
1734105728.6139786,494
1734105728.6140182,493
1734105728.6140566,494
1734105728.6140957,493
1734105728.614134,493
1734105728.6141727,493
1734105728.614211,493
1734105728.6142495,494
1734105728.614288,492
1734105728.614327,493
1734105728.6143668,493
1734105728.6144052,493
1734105728.6144435,494
1734105728.6144817,493
1734105728.6145205,493
1734105728.6145594,493
1734105728.614598,492
1734105728.61896,493
1734105728.6290522,493
1734105728.6391563,493
1734105728.6489818,492
1734105728.6591325,493
1734105728.669217,493
1734105728.679255,494
1734105728.689345,493
1734105728.699355,493
1734105728.709423,493
1734105728.7195115,500
1734105728.7295706,494
1734105728.73955,488
1734105728.7494533,492
1734105728.759553,497
1734105728.7695549,483
1734105728.7795386,502
1734105728.789683,500
1734105728.799652,495
1734105728.809655,496
1734105728.8195765,499
1734105728.829561,491
1734105728.8394768,501
1734105728.8494272,489
1734105728.8594615,506
