timestamp,emg_value
1734105827.5367694,492
1734105827.5368347,492
1734105827.5368936,491
1734105827.5369804,493
1734105827.5370386,493
1734105827.5370986,491
1734105827.5371573,491
1734105827.537222,492
1734105827.5372884,493
1734105827.5373573,492
1734105827.5374243,492
1734105827.5374906,492
1734105827.5375566,491
1734105827.5376225,491
1734105827.5376875,492
1734105827.5377548,492
1734105827.5378213,492
1734105827.5378869,492
1734105827.5379698,492
1734105827.5380352,491
1734105827.5380998,492
1734105827.5381653,492
1734105827.538231,491
1734105827.5382965,492
1734105827.5383615,492
1734105827.5384274,492
1734105827.5384924,493
1734105827.538562,492
1734105827.538627,492
1734105827.538693,492
1734105827.5387588,493
1734105827.5388236,493
1734105827.5388892,492
1734105827.5389712,492
1734105827.539037,493
1734105827.539096,492
1734105827.5391562,492
1734105827.5392134,491
1734105827.5392697,492
1734105827.5393262,492
1734105827.5393827,493
1734105827.5394406,492
1734105827.5394995,493
1734105827.5395555,492
1734105827.539612,492
1734105827.539669,492
1734105827.539728,491
1734105827.5397856,492
1734105827.5398433,492
1734105827.539901,492
1734105827.539968,492
1734105827.540019,492
1734105827.54007,492
1734105827.5401237,492
1734105827.540175,491
1734105827.5402255,493
1734105827.5402763,492
1734105827.540327,492
1734105827.5403783,494
1734105827.5404289,493
1734105827.5404801,493
1734105827.5405326,493
1734105827.5405848,493
1734105827.5406384,493
1734105827.5406907,491
1734105827.5407455,492
1734105827.5407972,492
1734105827.5408473,492
1734105827.5408978,492
1734105827.5409584,492
1734105827.5410116,491
1734105827.5410624,492
1734105827.5411139,491
1734105827.5411625,492
1734105827.5412107,493
1734105827.5412576,491
1734105827.5413048,492
1734105827.5413568,491
1734105827.5414042,491
1734105827.541451,492
1734105827.5414999,491
1734105827.5415475,492
1734105827.541594,492
1734105827.5416408,492
1734105827.5416873,491
1734105827.5417347,493
1734105827.5417802,492
1734105827.5418277,493
1734105827.541874,493
1734105827.5419211,493
1734105827.5419772,492
1734105827.5420244,493
1734105827.5420709,492
1734105827.5421143,491
1734105827.5421567,493
1734105827.542199,492
1734105827.5422413,493
1734105827.5422857,493
1734105827.5423274,492
1734105827.5423698,492
1734105827.544316,492
1734105827.5542006,493
1734105827.5641642,494
1734105827.574219,493
1734105827.584127,492
1734105827.5941336,493
1734105827.6042604,493
1734105827.6142452,493
1734105827.6242893,494
1734105827.6343062,495
1734105827.6444895,493
1734105827.6544876,492
1734105827.664552,494
1734105827.6745222,493
1734105827.684513,494
1734105827.6945791,493
1734105827.704585,494
1734105827.714612,493
1734105827.7246082,494
1734105827.7346227,494
1734105827.7446675,495
1734105827.7547512,493
1734105827.7646794,494
1734105827.774705,494
1734105827.7847197,494
1734105827.7947423,493
1734105827.8047626,494
1734105827.8147998,494
1734105827.8247564,493
1734105827.83465,494
1734105827.8446817,494
1734105827.8546567,494
1734105827.864662,495
1734105827.874676,493
1734105827.8848608,491
1734105827.894905,493
1734105827.9049718,493
1734105827.915018,495
1734105827.9249551,493
1734105827.935043,494
1734105827.9449432,494
1734105827.9550328,491
1734105827.9649844,495
1734105827.9752839,494
1734105827.9852414,492
1734105827.9953036,488
1734105828.0054815,494
1734105828.0152323,492
1734105828.0252218,493
1734105828.0354068,493
1734105828.0452783,493
1734105828.0555844,493
1734105828.0654902,496
1734105828.075506,493
1734105828.0855434,494
1734105828.0954762,495
1734105828.1054428,494
1734105828.1154573,494
1734105828.1254108,496
1734105828.1356802,494
1734105828.1456265,494
1734105828.1555007,494
1734105828.1656837,493
1734105828.1756907,495
1734105828.185462,495
1734105828.1957078,495
1734105828.2057106,494
1734105828.2155728,494
1734105828.225744,497
1734105828.235719,493
1734105828.2457383,493
1734105828.2557893,494
1734105828.265759,494
1734105828.2758512,495
1734105828.2859025,496
1734105828.2958703,492
1734105828.3058693,494
1734105828.315751,494
1734105828.3257637,495
1734105828.335759,494
1734105828.3458846,493
1734105828.3558903,493
1734105828.3658993,494
1734105828.376074,494
1734105828.3859975,494
1734105828.3961344,493
1734105828.4060533,494
1734105828.416172,494
1734105828.426167,494
1734105828.4360125,493
1734105828.4461231,496
1734105828.456178,495
1734105828.466216,494
1734105828.4761477,495
1734105828.4861355,495
1734105828.4961305,493
1734105828.5061626,495
1734105828.5161939,494
1734105828.5262547,494
1734105828.5363345,493
1734105828.5463657,494
1734105828.5563364,495
1734105828.566396,493
1734105828.5763724,493
1734105828.5862517,494
1734105828.596188,493
1734105828.6061697,493
1734105828.6162608,494
1734105828.626234,495
1734105828.6362438,493
1734105828.6462288,493
1734105828.6562645,493
1734105828.6662858,496
1734105828.676488,494
1734105828.6865273,494
1734105828.6965604,491
1734105828.7066813,493
1734105828.7167397,493
1734105828.7266164,494
1734105828.7367382,494
1734105828.746731,493
1734105828.7567976,493
1734105828.7668052,494
1734105828.776816,493
1734105828.7868426,494
1734105828.7967327,493
1734105828.8066356,494
1734105828.8167715,495
1734105828.8268936,493
1734105828.836421,494
1734105828.846402,493
1734105828.8564606,494
1734105828.8664548,493
1734105828.8764994,493
1734105828.8865132,493
1734105828.8966072,492
1734105828.9066253,492
1734105828.9166512,493
1734105828.926618,492
1734105828.9370003,493
1734105828.9467154,492
1734105828.9566479,493
1734105828.9667542,492
1734105828.9768372,494
1734105828.9867654,493
1734105828.9968581,493
1734105829.0067518,492
1734105829.0168097,493
1734105829.026783,493
1734105829.0368912,493
1734105829.0468843,493
1734105829.0569727,493
1734105829.0670352,491
1734105829.07699,493
1734105829.0870852,492
1734105829.0970554,493
1734105829.107062,492
1734105829.1170435,492
1734105829.127052,493
1734105829.137098,492
1734105829.1470556,493
1734105829.1571174,493
1734105829.167149,493
1734105829.1771307,493
1734105829.1871586,493
1734105829.1971865,493
1734105829.20716,495
1734105829.2171443,493
1734105829.2271717,493
1734105829.2372346,494
1734105829.247253,494
1734105829.2572212,493
1734105829.2672653,493
1734105829.2773094,493
1734105829.2872963,492
1734105829.2973406,493
1734105829.3073359,493
1734105829.317344,494
1734105829.327361,493
1734105829.3375602,494
